"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"5 years"	"5"	744	3965103	18.8
	"2000"	"2000"	"6 years"	"6"	653	4019705	16.2
	"2000"	"2000"	"7 years"	"7"	642	4118147	15.6
	"2000"	"2000"	"8 years"	"8"	609	4179230	14.6
	"2000"	"2000"	"9 years"	"9"	605	4267320	14.2
	"2000"	"2000"	"10 years"	"10"	644	4274056	15.1
	"2000"	"2000"	"11 years"	"11"	742	4115093	18.0
	"2000"	"2000"	"12 years"	"12"	741	4075842	18.2
	"2000"	"2000"	"13 years"	"13"	872	4010850	21.7
	"2000"	"2000"	"14 years"	"14"	1161	4052231	28.7
	"2000"	"2000"	"15 years"	"15"	1559	4019404	38.8
	"2000"	"2000"	"16 years"	"16"	2209	3975021	55.6
	"2000"	"2000"	"17 years"	"17"	2736	4046012	67.6
	"2000"	"2000"	"18 years"	"18"	3367	4051598	83.1
	"2000"	"2000"	"19 years"	"19"	3692	4127855	89.4
	"2000"	"2000"	"20 years"	"20"	3723	4049448	91.9
	"2000"	"2000"	"21 years"	"21"	3779	3841082	98.4
	"2000"	"2000"	"22 years"	"22"	3512	3758648	93.4
	"2000"	"2000"	"23 years"	"23"	3396	3673582	92.4
	"2000"	"2000"	"24 years"	"24"	3334	3641241	91.6
	"2000"	"2000"	"25 years"	"25"	3299	3744539	88.1
	"2000"	"2000"	"26 years"	"26"	3249	3619660	89.8
	"2000"	"2000"	"27 years"	"27"	3482	3789800	91.9
	"2000"	"2000"	"28 years"	"28"	3629	3984812	91.1
	"2000"	"2000"	"29 years"	"29"	4022	4242525	94.8
	"2000"	"2000"	"30 years"	"30"	4025	4289970	93.8
	"2000"	"2000"	"31 years"	"31"	4255	4011575	106.1
	"2000"	"2000"	"32 years"	"32"	4382	3994121	109.7
	"2000"	"2000"	"33 years"	"33"	4786	4026573	118.9
	"2000"	"2000"	"34 years"	"34"	5322	4188149	127.1
	"2000"	"2000"	"35 years"	"35"	5891	4516118	130.4
	"2000"	"2000"	"36 years"	"36"	6566	4511168	145.5
	"2000"	"2000"	"37 years"	"37"	7235	4517060	160.2
	"2000"	"2000"	"38 years"	"38"	7901	4553814	173.5
	"2000"	"2000"	"39 years"	"39"	8547	4608504	185.5
	"2000"	"2000"	"40 years"	"40"	9405	4711434	199.6
	"2000"	"2000"	"41 years"	"41"	9973	4466676	223.3
	"2000"	"2000"	"42 years"	"42"	10600	4547220	233.1
	"2000"	"2000"	"43 years"	"43"	11629	4407870	263.8
	"2000"	"2000"	"44 years"	"44"	12051	4308663	279.7
	"2000"	"2000"	"45 years"	"45"	12905	4341460	297.3
	"2000"	"2000"	"46 years"	"46"	13390	4087563	327.6
	"2000"	"2000"	"47 years"	"47"	14164	4019692	352.4
	"2000"	"2000"	"48 years"	"48"	14887	3885145	383.2
	"2000"	"2000"	"49 years"	"49"	15486	3758544	412.0
	"2000"	"2000"	"50 years"	"50"	16356	3808515	429.5
	"2000"	"2000"	"51 years"	"51"	16992	3616997	469.8
	"2000"	"2000"	"52 years"	"52"	18527	3707436	499.7
	"2000"	"2000"	"53 years"	"53"	20212	3635040	556.0
	"2000"	"2000"	"54 years"	"54"	17422	2817560	618.3
	"2000"	"2000"	"55 years"	"55"	18781	2850600	658.8
	"2000"	"2000"	"56 years"	"56"	20403	2837452	719.1
	"2000"	"2000"	"57 years"	"57"	22527	2864020	786.6
	"2000"	"2000"	"58 years"	"58"	22248	2540152	875.9
	"2000"	"2000"	"59 years"	"59"	22792	2377013	958.9
	"2000"	"2000"	"60 years"	"60"	23748	2319944	1023.6
	"2000"	"2000"	"61 years"	"61"	25092	2221227	1129.6
	"2000"	"2000"	"62 years"	"62"	26924	2171072	1240.1
	"2000"	"2000"	"63 years"	"63"	28018	2053151	1364.6
	"2000"	"2000"	"64 years"	"64"	30313	2040053	1485.9
	"2000"	"2000"	"65 years"	"65"	32150	2029911	1583.8
	"2000"	"2000"	"66 years"	"66"	33135	1860320	1781.1
	"2000"	"2000"	"67 years"	"67"	36042	1896451	1900.5
	"2000"	"2000"	"68 years"	"68"	38801	1864515	2081.0
	"2000"	"2000"	"69 years"	"69"	41611	1882348	2210.6
	"2000"	"2000"	"70 years"	"70"	45594	1875175	2431.5
	"2000"	"2000"	"71 years"	"71"	48157	1788269	2692.9
	"2000"	"2000"	"72 years"	"72"	52391	1791696	2924.1
	"2000"	"2000"	"73 years"	"73"	55183	1725168	3198.7
	"2000"	"2000"	"74 years"	"74"	58145	1677133	3466.9
	"2000"	"2000"	"75 years"	"75"	62634	1651641	3792.2
	"2000"	"2000"	"76 years"	"76"	64746	1556567	4159.5
	"2000"	"2000"	"77 years"	"77"	66877	1460781	4578.2
	"2000"	"2000"	"78 years"	"78"	70755	1431916	4941.3
	"2000"	"2000"	"79 years"	"79"	72688	1314908	5528.0
	"2000"	"2000"	"80 years"	"80"	73680	1207365	6102.5
	"2000"	"2000"	"81 years"	"81"	70977	1072048	6620.7
	"2000"	"2000"	"82 years"	"82"	73375	981562	7475.3
	"2000"	"2000"	"83 years"	"83"	72303	883063	8187.8
	"2000"	"2000"	"84 years"	"84"	72410	801329	9036.2
	"2000"	"2000"	"85 years"	"85"	72959	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	71132	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	68345	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	63584	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	59793	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	54952	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	49513	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	44901	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	37997	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	31920	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	26185	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	21011	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	16402	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	12134	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	8909	Not Applicable	Not Applicable
	"2000"	"2000"	"100+ years"	"100"	18434	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	356	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"0"	27568	4012658	687.0
	"2001"	"2001"	"1 year"	"1"	2002	3855407	51.9
	"2001"	"2001"	"2 years"	"2"	1303	3800096	34.3
	"2001"	"2001"	"3 years"	"3"	983	3802710	25.8
	"2001"	"2001"	"4 years"	"4"	819	3827346	21.4
	"2001"	"2001"	"5 years"	"5"	670	3910033	17.1
	"2001"	"2001"	"6 years"	"6"	633	3972508	15.9
	"2001"	"2001"	"7 years"	"7"	581	4012049	14.5
	"2001"	"2001"	"8 years"	"8"	584	4099542	14.2
	"2001"	"2001"	"9 years"	"9"	625	4179230	15.0
	"2001"	"2001"	"10 years"	"10"	636	4277249	14.9
	"2001"	"2001"	"11 years"	"11"	681	4344913	15.7
	"2001"	"2001"	"12 years"	"12"	736	4183955	17.6
	"2001"	"2001"	"13 years"	"13"	861	4113191	20.9
	"2001"	"2001"	"14 years"	"14"	1088	4059370	26.8
	"2001"	"2001"	"15 years"	"15"	1461	4083878	35.8
	"2001"	"2001"	"16 years"	"16"	2182	4108304	53.1
	"2001"	"2001"	"17 years"	"17"	2771	4028736	68.8
	"2001"	"2001"	"18 years"	"18"	3377	4102851	82.3
	"2001"	"2001"	"19 years"	"19"	3764	4132515	91.1
	"2001"	"2001"	"20 years"	"20"	3757	4156725	90.4
	"2001"	"2001"	"21 years"	"21"	4095	4133311	99.1
	"2001"	"2001"	"22 years"	"22"	3715	3919316	94.8
	"2001"	"2001"	"23 years"	"23"	3609	3798554	95.0
	"2001"	"2001"	"24 years"	"24"	3521	3749380	93.9
	"2001"	"2001"	"25 years"	"25"	3406	3659719	93.1
	"2001"	"2001"	"26 years"	"26"	3573	3768152	94.8
	"2001"	"2001"	"27 years"	"27"	3511	3668700	95.7
	"2001"	"2001"	"28 years"	"28"	3763	3766129	99.9
	"2001"	"2001"	"29 years"	"29"	3958	3956647	100.0
	"2001"	"2001"	"30 years"	"30"	4382	4218260	103.9
	"2001"	"2001"	"31 years"	"31"	4438	4302689	103.1
	"2001"	"2001"	"32 years"	"32"	4571	4082902	112.0
	"2001"	"2001"	"33 years"	"33"	4879	4014912	121.5
	"2001"	"2001"	"34 years"	"34"	5202	4033412	129.0
	"2001"	"2001"	"35 years"	"35"	5901	4161140	141.8
	"2001"	"2001"	"36 years"	"36"	6597	4457678	148.0
	"2001"	"2001"	"37 years"	"37"	7472	4534648	164.8
	"2001"	"2001"	"38 years"	"38"	8173	4529329	180.4
	"2001"	"2001"	"39 years"	"39"	8752	4553123	192.2
	"2001"	"2001"	"40 years"	"40"	9507	4606601	206.4
	"2001"	"2001"	"41 years"	"41"	10204	4700471	217.1
	"2001"	"2001"	"42 years"	"42"	10659	4514435	236.1
	"2001"	"2001"	"43 years"	"43"	11861	4523433	262.2
	"2001"	"2001"	"44 years"	"44"	12548	4470894	280.7
	"2001"	"2001"	"45 years"	"45"	13231	4301955	307.6
	"2001"	"2001"	"46 years"	"46"	14021	4331582	323.7
	"2001"	"2001"	"47 years"	"47"	14833	4152347	357.2
	"2001"	"2001"	"48 years"	"48"	15328	4018921	381.4
	"2001"	"2001"	"49 years"	"49"	16271	3894178	417.8
	"2001"	"2001"	"50 years"	"50"	16640	3796146	438.3
	"2001"	"2001"	"51 years"	"51"	17558	3796980	462.4
	"2001"	"2001"	"52 years"	"52"	18537	3654405	507.3
	"2001"	"2001"	"53 years"	"53"	19897	3631014	548.0
	"2001"	"2001"	"54 years"	"54"	21749	3808740	571.0
	"2001"	"2001"	"55 years"	"55"	18963	2851092	665.1
	"2001"	"2001"	"56 years"	"56"	20109	2846838	706.4
	"2001"	"2001"	"57 years"	"57"	22022	2805407	785.0
	"2001"	"2001"	"58 years"	"58"	24525	2900132	845.7
	"2001"	"2001"	"59 years"	"59"	23904	2565506	931.7
	"2001"	"2001"	"60 years"	"60"	24353	2380300	1023.1
	"2001"	"2001"	"61 years"	"61"	25239	2323707	1086.2
	"2001"	"2001"	"62 years"	"62"	26883	2213270	1214.6
	"2001"	"2001"	"63 years"	"63"	28576	2172024	1315.6
	"2001"	"2001"	"64 years"	"64"	29565	2047019	1444.3
	"2001"	"2001"	"65 years"	"65"	31559	2012270	1568.3
	"2001"	"2001"	"66 years"	"66"	33635	2013441	1670.5
	"2001"	"2001"	"67 years"	"67"	34965	1850485	1889.5
	"2001"	"2001"	"68 years"	"68"	37350	1852792	2015.9
	"2001"	"2001"	"69 years"	"69"	40723	1833245	2221.4
	"2001"	"2001"	"70 years"	"70"	43556	1817859	2396.0
	"2001"	"2001"	"71 years"	"71"	47443	1844676	2571.9
	"2001"	"2001"	"72 years"	"72"	50027	1743767	2868.9
	"2001"	"2001"	"73 years"	"73"	54608	1733630	3149.9
	"2001"	"2001"	"74 years"	"74"	57094	1682014	3394.4
	"2001"	"2001"	"75 years"	"75"	60252	1610892	3740.3
	"2001"	"2001"	"76 years"	"76"	64767	1589103	4075.7
	"2001"	"2001"	"77 years"	"77"	66922	1503097	4452.3
	"2001"	"2001"	"78 years"	"78"	68726	1405933	4888.3
	"2001"	"2001"	"79 years"	"79"	73010	1346388	5422.7
	"2001"	"2001"	"80 years"	"80"	74602	1254832	5945.2
	"2001"	"2001"	"81 years"	"81"	74618	1154138	6465.3
	"2001"	"2001"	"82 years"	"82"	72642	993071	7314.9
	"2001"	"2001"	"83 years"	"83"	73768	927192	7956.1
	"2001"	"2001"	"84 years"	"84"	72622	808972	8977.1
	"2001"	"2001"	"85 years"	"85"	72205	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	71689	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	69432	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	65507	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	60942	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	55277	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	50250	Not Applicable	Not Applicable
	"2001"	"2001"	"92 years"	"92"	44059	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	39272	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	32456	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	26789	Not Applicable	Not Applicable
	"2001"	"2001"	"96 years"	"96"	21492	Not Applicable	Not Applicable
	"2001"	"2001"	"97 years"	"97"	16364	Not Applicable	Not Applicable
	"2001"	"2001"	"98 years"	"98"	12544	Not Applicable	Not Applicable
	"2001"	"2001"	"99 years"	"99"	8765	Not Applicable	Not Applicable
	"2001"	"2001"	"100+ years"	"100"	18488	Not Applicable	Not Applicable
	"2001"	"2001"	"Not Stated"	"NS"	422	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"0"	28034	3951461	709.5
	"2002"	"2002"	"1 year"	"1"	1910	4004674	47.7
	"2002"	"2002"	"2 years"	"2"	1257	3856114	32.6
	"2002"	"2002"	"3 years"	"3"	912	3804336	24.0
	"2002"	"2002"	"4 years"	"4"	779	3812607	20.4
	"2002"	"2002"	"5 years"	"5"	674	3837187	17.6
	"2002"	"2002"	"6 years"	"6"	568	3913054	14.5
	"2002"	"2002"	"7 years"	"7"	565	3982360	14.2
	"2002"	"2002"	"8 years"	"8"	613	4020970	15.2
	"2002"	"2002"	"9 years"	"9"	598	4118846	14.5
	"2002"	"2002"	"10 years"	"10"	635	4243816	15.0
	"2002"	"2002"	"11 years"	"11"	656	4295720	15.3
	"2002"	"2002"	"12 years"	"12"	800	4380351	18.3
	"2002"	"2002"	"13 years"	"13"	947	4209025	22.5
	"2002"	"2002"	"14 years"	"14"	1094	4132509	26.5
	"2002"	"2002"	"15 years"	"15"	1417	4097876	34.6
	"2002"	"2002"	"16 years"	"16"	2340	4126961	56.7
	"2002"	"2002"	"17 years"	"17"	2773	4148590	66.8
	"2002"	"2002"	"18 years"	"18"	3439	4084316	84.2
	"2002"	"2002"	"19 years"	"19"	3843	4152627	92.5
	"2002"	"2002"	"20 years"	"20"	3844	4158896	92.4
	"2002"	"2002"	"21 years"	"21"	4089	4182678	97.8
	"2002"	"2002"	"22 years"	"22"	3881	4145736	93.6
	"2002"	"2002"	"23 years"	"23"	3754	3936927	95.4
	"2002"	"2002"	"24 years"	"24"	3666	3819528	96.0
	"2002"	"2002"	"25 years"	"25"	3507	3779169	92.8
	"2002"	"2002"	"26 years"	"26"	3587	3669915	97.7
	"2002"	"2002"	"27 years"	"27"	3486	3791713	91.9
	"2002"	"2002"	"28 years"	"28"	3551	3682001	96.4
	"2002"	"2002"	"29 years"	"29"	3828	3768542	101.6
	"2002"	"2002"	"30 years"	"30"	4165	3994164	104.3
	"2002"	"2002"	"31 years"	"31"	4525	4210913	107.5
	"2002"	"2002"	"32 years"	"32"	4656	4330977	107.5
	"2002"	"2002"	"33 years"	"33"	4938	4095531	120.6
	"2002"	"2002"	"34 years"	"34"	5112	4026721	127.0
	"2002"	"2002"	"35 years"	"35"	5592	4050190	138.1
	"2002"	"2002"	"36 years"	"36"	6137	4168398	147.2
	"2002"	"2002"	"37 years"	"37"	7051	4459389	158.1
	"2002"	"2002"	"38 years"	"38"	7856	4538848	173.1
	"2002"	"2002"	"39 years"	"39"	8711	4534393	192.1
	"2002"	"2002"	"40 years"	"40"	9522	4551912	209.2
	"2002"	"2002"	"41 years"	"41"	10318	4610846	223.8
	"2002"	"2002"	"42 years"	"42"	11136	4699196	237.0
	"2002"	"2002"	"43 years"	"43"	11953	4515522	264.7
	"2002"	"2002"	"44 years"	"44"	12864	4511955	285.1
	"2002"	"2002"	"45 years"	"45"	13633	4461379	305.6
	"2002"	"2002"	"46 years"	"46"	14378	4301101	334.3
	"2002"	"2002"	"47 years"	"47"	15201	4330110	351.1
	"2002"	"2002"	"48 years"	"48"	16194	4143330	390.8
	"2002"	"2002"	"49 years"	"49"	16659	4016368	414.8
	"2002"	"2002"	"50 years"	"50"	17411	3881009	448.6
	"2002"	"2002"	"51 years"	"51"	18161	3797199	478.3
	"2002"	"2002"	"52 years"	"52"	18955	3785188	500.8
	"2002"	"2002"	"53 years"	"53"	20211	3650409	553.7
	"2002"	"2002"	"54 years"	"54"	21582	3626101	595.2
	"2002"	"2002"	"55 years"	"55"	23706	3788111	625.8
	"2002"	"2002"	"56 years"	"56"	20472	2846712	719.1
	"2002"	"2002"	"57 years"	"57"	21475	2833628	757.9
	"2002"	"2002"	"58 years"	"58"	23564	2792832	843.7
	"2002"	"2002"	"59 years"	"59"	26224	2881784	910.0
	"2002"	"2002"	"60 years"	"60"	25813	2540735	1016.0
	"2002"	"2002"	"61 years"	"61"	25863	2370358	1091.1
	"2002"	"2002"	"62 years"	"62"	27401	2306156	1188.2
	"2002"	"2002"	"63 years"	"63"	28551	2195850	1300.2
	"2002"	"2002"	"64 years"	"64"	30273	2147166	1409.9
	"2002"	"2002"	"65 years"	"65"	31152	2025379	1538.1
	"2002"	"2002"	"66 years"	"66"	32892	1986541	1655.7
	"2002"	"2002"	"67 years"	"67"	35781	1986526	1801.2
	"2002"	"2002"	"68 years"	"68"	36341	1821142	1995.5
	"2002"	"2002"	"69 years"	"69"	39425	1818893	2167.5
	"2002"	"2002"	"70 years"	"70"	42908	1792760	2393.4
	"2002"	"2002"	"71 years"	"71"	46022	1782107	2582.4
	"2002"	"2002"	"72 years"	"72"	49512	1797946	2753.8
	"2002"	"2002"	"73 years"	"73"	52427	1697450	3088.6
	"2002"	"2002"	"74 years"	"74"	56530	1679791	3365.3
	"2002"	"2002"	"75 years"	"75"	60029	1620812	3703.6
	"2002"	"2002"	"76 years"	"76"	62645	1554475	4030.0
	"2002"	"2002"	"77 years"	"77"	66983	1522890	4398.4
	"2002"	"2002"	"78 years"	"78"	69209	1436185	4818.9
	"2002"	"2002"	"79 years"	"79"	71274	1336099	5334.5
	"2002"	"2002"	"80 years"	"80"	75456	1269310	5944.6
	"2002"	"2002"	"81 years"	"81"	76729	1180698	6498.6
	"2002"	"2002"	"82 years"	"82"	76857	1075053	7149.1
	"2002"	"2002"	"83 years"	"83"	73680	919945	8009.2
	"2002"	"2002"	"84 years"	"84"	74792	849397	8805.3
	"2002"	"2002"	"85 years"	"85"	72656	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	72099	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	70322	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	67154	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	63154	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	56949	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	51598	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	45961	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	39917	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	34162	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	27281	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	21624	Not Applicable	Not Applicable
	"2002"	"2002"	"97 years"	"97"	17001	Not Applicable	Not Applicable
	"2002"	"2002"	"98 years"	"98"	12890	Not Applicable	Not Applicable
	"2002"	"2002"	"99 years"	"99"	9486	Not Applicable	Not Applicable
	"2002"	"2002"	"100+ years"	"100"	18822	Not Applicable	Not Applicable
	"2002"	"2002"	"Not Stated"	"NS"	357	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"0"	28025	3975871	704.9
	"2003"	"2003"	"1 year"	"1"	1864	3936139	47.4
	"2003"	"2003"	"2 years"	"2"	1338	4002836	33.4
	"2003"	"2003"	"3 years"	"3"	1003	3860727	26.0
	"2003"	"2003"	"4 years"	"4"	760	3816873	19.9
	"2003"	"2003"	"5 years"	"5"	649	3823568	17.0
	"2003"	"2003"	"6 years"	"6"	582	3837761	15.2
	"2003"	"2003"	"7 years"	"7"	565	3924182	14.4
	"2003"	"2003"	"8 years"	"8"	558	3991075	14.0
	"2003"	"2003"	"9 years"	"9"	544	4044265	13.5
	"2003"	"2003"	"10 years"	"10"	683	4205042	16.2
